run_id,round,event_count,duration_s,overall_eps,sustainable_eps,overall_p95_ms,sla_met
run-1759592680813-0fcfd0,1,9,1.0,9.0,9.0,0.020589603809639808,True
run-1759592680813-e3795f,2,9,1.0,9.0,9.0,0.009441602742299438,True
AVERAGE,,9.0,1.0,9.0,9.0,0.015015603275969623,1.0
