run_id,round,event_type,count,p50_ms,p90_ms,p95_ms,mean_ms
run-1759592680813-0fcfd0,1,command,5,0.007707974873483181,0.010416889563202858,0.01120849046856165,0.008575012907385826
run-1759592680813-0fcfd0,1,observation,1,0.02220796886831522,0.02220796886831522,0.02220796886831522,0.02220796886831522
run-1759592680813-0fcfd0,1,order,1,0.017584068700671196,0.017584068700671196,0.017584068700671196,0.017584068700671196
run-1759592680813-0fcfd0,1,outcome,1,0.009916024282574654,0.009916024282574654,0.009916024282574654,0.009916024282574654
run-1759592680813-e3795f,2,command,5,0.0074160052463412285,0.008317013271152973,0.008492008782923222,0.0076918164268136024
run-1759592680813-e3795f,2,observation,1,0.009333016350865364,0.009333016350865364,0.009333016350865364,0.009333016350865364
run-1759592680813-e3795f,2,order,1,0.009500072337687016,0.009500072337687016,0.009500072337687016,0.009500072337687016
run-1759592680813-e3795f,2,outcome,1,0.008292030543088913,0.008292030543088913,0.008292030543088913,0.008292030543088913
AVERAGE,,command,5.0,0.007561990059912205,0.009366951417177916,0.009850249625742435,0.008133414667099714
AVERAGE,,observation,1.0,0.015770492609590292,0.015770492609590292,0.015770492609590292,0.015770492609590292
AVERAGE,,order,1.0,0.013542070519179106,0.013542070519179106,0.013542070519179106,0.013542070519179106
AVERAGE,,outcome,1.0,0.009104027412831783,0.009104027412831783,0.009104027412831783,0.009104027412831783
