event_id,event_type,depth,latency_ms
15fd537adca682baefc5d3bd3582dbe7f83154a4bfe57ce1cbddfe358acfda3e,observation,0,0.015124911442399025
7cf7c6563b8ce788201a8959c2dbe262992116209dad88e6072248375619630b,order,1,0.00566698145121336
41fbac5313ba28d4904c10e124ce5fedcff559ddfb24f2199b59346adac9b6ca,command,2,0.0031669624149799347
5ef8c535c422bc5cf6e3be813fac64e03cc7943621a4253f9eb7c2092ae7e2f4,outcome,3,0.002040993422269821
