run_identifier,round_number,invalid_events_attempted,invalid_events_accepted,policy_violation_rate,valid_events_attempted,valid_events_rejected,false_rejection_rate,command_latency_p50_ms,command_latency_p90_ms,command_latency_p95_ms,events_per_second_overall,events_per_second_sustainable,overall_latency_p95_ms,events_processed,round_duration_seconds,slo_compliance_ratio,avg_validation_latency_ms,avg_simulated_delay_ms
run-1759599036312-d92df1,1,5,0,0.0,4,0,0.0,35.8311670133844,41.97826681192964,42.65538342297077,9.0,9.0,46.33666476001963,9,1.0,1.0,34.81218236265704,30.373235655171783
run-1759599036595-6ff903,2,5,0,0.0,4,0,0.0,36.954957991838455,45.503399800509214,45.5963663989678,9.0,9.0,47.77686195448041,9,1.0,1.0,33.31764563336037,29.298532372696915
AVERAGE,,5.0,0.0,0.0,4.0,0.0,0.0,36.39306250261143,43.74083330621943,44.12587491096929,9.0,9.0,47.05676335725002,9.0,1.0,1.0,34.064913998008706,29.835884013934347
